epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01516,0.97328,2.50746,1.43269,0.00364,1,0.61491,0.40506,0.46089,3.06275,1.17257,0,0,0
2,11.5462,1.13887,2.77332,1.73403,0.00364,1,0.65534,0.45256,0.43761,3.05928,1.14247,1.901e-05,1.901e-05,1.901e-05
3,16.2366,1.06683,2.59841,1.44262,0.00364,1,0.81498,0.52083,0.38557,3.059,1.12375,3.604e-05,3.604e-05,3.604e-05
4,20.6425,0.81631,2.517,1.35833,0.00364,1,0.83856,0.5738,0.36337,3.03165,1.078,5.109e-05,5.109e-05,5.109e-05
5,25.1713,0.64735,2.37006,1.22691,0.00364,1,0.86543,0.69642,0.35684,3.00986,1.05776,6.416e-05,6.416e-05,6.416e-05
6,29.7036,1.0155,2.5454,1.50861,0.00364,1,0.92269,0.75299,0.34285,3.00421,1.04307,7.525e-05,7.525e-05,7.525e-05
7,32.3299,0.54218,2.16202,1.14516,0.00364,1,0.92731,0.7718,0.34493,2.99581,1.03796,8.436e-05,8.436e-05,8.436e-05
8,36.6958,0.60213,2.10905,1.21198,0.00364,1,0.92678,0.76091,0.34728,2.98675,1.02667,9.149e-05,9.149e-05,9.149e-05
9,41.1887,0.6312,2.10536,1.25789,0.00364,1,0.92083,0.74818,0.36584,2.96835,1.01707,9.664e-05,9.664e-05,9.664e-05
10,45.3627,0.69269,2.05263,1.3714,0.00364,1,0.92548,0.79651,0.38838,2.94764,1.0215,9.981e-05,9.981e-05,9.981e-05
11,49.8013,0.75682,2.31501,1.28767,0.00364,1,0.92168,0.7962,0.40087,2.92342,1.00414,0.000101,0.000101,0.000101
12,54.1608,0.51752,2.27814,1.19892,0.00364,1,0.92022,0.78974,0.39321,2.88353,0.99839,0.00010021,0.00010021,0.00010021
13,58.4172,0.4667,1.90447,1.13867,0.00364,1,0.93539,0.83009,0.38142,2.85281,0.97853,9.744e-05,9.744e-05,9.744e-05
14,60.9028,0.55008,2.08388,1.19659,0.00364,1,0.93331,0.85887,0.37301,2.82174,0.98858,9.269e-05,9.269e-05,9.269e-05
15,65.1837,0.41729,2.04751,1.05616,0.00364,1,0.94615,0.86704,0.38083,2.79504,0.99982,8.596e-05,8.596e-05,8.596e-05
16,69.889,0.43332,1.66265,0.98994,0.00364,1,0.95451,0.85004,0.38313,2.79119,1.0106,7.725e-05,7.725e-05,7.725e-05
17,75.2714,0.52054,1.69803,1.25034,0.00364,1,0.95929,0.84287,0.39047,2.79322,1.02847,6.656e-05,6.656e-05,6.656e-05
18,80.456,0.44329,1.75832,0.98228,0.00364,1,0.95929,0.84287,0.39047,2.79322,1.02847,5.389e-05,5.389e-05,5.389e-05
19,85.4525,0.37948,1.69147,1.02416,0.00364,1,0.96396,0.86031,0.39835,2.78599,1.02638,3.924e-05,3.924e-05,3.924e-05
20,88.4639,0.3806,1.65822,1.15507,0.00364,1,0.96396,0.86031,0.39835,2.78599,1.02638,2.261e-05,2.261e-05,2.261e-05
