epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0724,0.93583,2.57026,1.42325,0.00364,1,0.67236,0.46086,0.4389,3.05806,1.15215,2e-05,2e-05,2e-05
2,25.053,0.95414,2.72839,1.55678,0.00364,1,0.86342,0.58134,0.3758,3.04457,1.09035,5.8812e-05,5.8812e-05,5.8812e-05
3,29.8322,0.75514,2.43997,1.30796,0.00364,1,0.87794,0.63478,0.40103,3.06177,1.13194,9.604e-05,9.604e-05,9.604e-05
4,34.5007,0.70537,2.31305,1.32849,0.00364,1,0.84999,0.69117,0.41084,3.05809,1.10098,0.000131684,0.000131684,0.000131684
5,39.3533,0.62529,1.98844,1.24474,0.00364,1,0.80609,0.68097,0.41259,3.02294,1.07436,0.000165744,0.000165744,0.000165744
6,43.7474,0.84341,2.16704,1.37374,0.00364,1,0.83993,0.70674,0.4311,2.96389,1.06509,0.00019822,0.00019822,0.00019822
7,48.5286,0.64093,1.72765,1.18885,0.00364,1,0.92148,0.73431,0.4116,2.89187,1.05252,0.000229112,0.000229112,0.000229112
8,50.9834,0.59784,1.58638,1.20686,0.00364,1,0.8653,0.72642,0.39389,2.80618,0.99998,0.00025842,0.00025842,0.00025842
9,55.8246,0.69075,1.592,1.27314,1,0.26514,0.86207,0.73649,0.37351,2.70673,0.9688,0.000286144,0.000286144,0.000286144
10,60.1613,0.63169,1.75707,1.3393,1,0.16165,0.96962,0.91447,0.37921,2.63618,0.96639,0.000312284,0.000312284,0.000312284
11,64.6587,0.63196,1.22833,1.18466,1,0.24388,0.96274,0.90244,0.42271,2.57239,1.00941,0.00033684,0.00033684,0.00033684
12,68.8407,0.50489,1.23929,1.11588,1,0.24388,0.96274,0.90244,0.42271,2.57239,1.00941,0.000359812,0.000359812,0.000359812
13,73.2414,0.66465,1.26389,1.16933,1,0.45327,0.94485,0.84297,0.48811,2.56027,1.07106,0.0003812,0.0003812,0.0003812
14,77.7978,0.46972,1.03055,1.08257,1,0.60782,0.94371,0.82453,0.46114,2.52302,1.03014,0.000401004,0.000401004,0.000401004
15,80.3411,0.47154,0.89966,1.0682,1,0.60782,0.94371,0.82453,0.46114,2.52302,1.03014,0.000419224,0.000419224,0.000419224
16,84.7855,0.54108,0.99873,1.14937,1,0.69295,0.98357,0.86794,0.42843,2.50535,1.02573,0.00043586,0.00043586,0.00043586
17,89.089,0.43728,0.92394,1.10098,1,0.32528,0.97233,0.86437,0.42695,2.54456,1.03883,0.000450912,0.000450912,0.000450912
18,93.8608,0.61507,1.18145,1.20365,1,0.32528,0.97233,0.86437,0.42695,2.54456,1.03883,0.00046438,0.00046438,0.00046438
19,98.2396,0.70289,1.30578,1.36428,0.98475,1,0.995,0.86154,0.49195,2.38634,1.1097,0.000476264,0.000476264,0.000476264
20,102.505,0.59439,1.19194,1.14067,0.98475,1,0.995,0.86154,0.49195,2.38634,1.1097,0.000486564,0.000486564,0.000486564
21,106.702,0.61011,1.17249,1.22203,0.92008,0.96105,0.96962,0.85597,0.53959,1.95626,1.18348,0.00049528,0.00049528,0.00049528
22,109.059,0.50973,0.89605,1.04969,0.92008,0.96105,0.96962,0.85597,0.53959,1.95626,1.18348,0.000502412,0.000502412,0.000502412
23,113.834,0.58627,0.95933,1.1592,0.90957,0.83865,0.97233,0.8462,0.52603,1.9456,1.16529,0.00050796,0.00050796,0.00050796
24,118.148,0.50418,0.966,1.17466,0.90957,0.83865,0.97233,0.8462,0.52603,1.9456,1.16529,0.000511924,0.000511924,0.000511924
25,122.805,0.48293,0.85854,1.07091,1,0.94834,0.995,0.83804,0.62281,2.16113,1.27695,0.000514304,0.000514304,0.000514304
26,127.145,0.58594,1.95023,1.2429,1,0.94834,0.995,0.83804,0.62281,2.16113,1.27695,0.0005151,0.0005151,0.0005151
27,131.611,0.67956,1.12317,1.27559,1,0.94834,0.995,0.83804,0.62281,2.16113,1.27695,0.000514312,0.000514312,0.000514312
28,136.249,0.66741,1.12824,1.19648,1,0.91037,0.98885,0.81304,0.65323,1.90449,1.29334,0.00051194,0.00051194,0.00051194
29,138.464,0.50121,1.09582,1.09546,1,0.91037,0.98885,0.81304,0.65323,1.90449,1.29334,0.000507984,0.000507984,0.000507984
30,142.74,0.54926,0.93293,1.08561,0.91494,0.91667,0.96833,0.81198,0.61577,1.84433,1.24227,0.000502444,0.000502444,0.000502444
31,147.108,0.5534,1.04019,1.06056,0.91494,0.91667,0.96833,0.81198,0.61577,1.84433,1.24227,0.00049532,0.00049532,0.00049532
32,151.434,0.61305,1.16286,1.13583,0.91494,0.91667,0.96833,0.81198,0.61577,1.84433,1.24227,0.000486612,0.000486612,0.000486612
33,155.692,0.48922,1.01784,1.09274,0.99473,0.91667,0.98357,0.85104,0.56701,1.80312,1.1644,0.00047632,0.00047632,0.00047632
34,159.953,0.60037,1.09774,1.17954,0.99473,0.91667,0.98357,0.85104,0.56701,1.80312,1.1644,0.000464444,0.000464444,0.000464444
35,164.398,0.58559,0.9934,1.19504,0.99473,0.91667,0.98357,0.85104,0.56701,1.80312,1.1644,0.000450984,0.000450984,0.000450984
36,166.851,0.49036,0.9603,0.96204,1,0.98821,0.995,0.85682,0.51237,1.72821,1.12595,0.00043594,0.00043594,0.00043594
37,171.15,0.5071,0.85201,1.03919,1,0.98821,0.995,0.85682,0.51237,1.72821,1.12595,0.000419312,0.000419312,0.000419312
38,175.536,0.53188,1.01254,1.0049,1,0.98821,0.995,0.85682,0.51237,1.72821,1.12595,0.0004011,0.0004011,0.0004011
39,179.739,0.43834,0.88867,1.07277,0.99331,1,0.995,0.88614,0.45201,1.60416,1.05145,0.000381304,0.000381304,0.000381304
40,184.033,0.50383,1.06963,1.16173,0.99331,1,0.995,0.88614,0.45201,1.60416,1.05145,0.000359924,0.000359924,0.000359924
41,188.17,0.4348,1.54662,1.1581,0.99331,1,0.995,0.88614,0.45201,1.60416,1.05145,0.00033696,0.00033696,0.00033696
42,192.49,0.40444,1.308,0.99723,0.99257,1,0.995,0.91442,0.40755,1.50285,0.97976,0.000312412,0.000312412,0.000312412
43,194.882,0.3423,1.296,0.98174,0.99257,1,0.995,0.91442,0.40755,1.50285,0.97976,0.00028628,0.00028628,0.00028628
44,199.523,0.39868,1.16721,0.91832,0.99257,1,0.995,0.91442,0.40755,1.50285,0.97976,0.000258564,0.000258564,0.000258564
45,204.247,0.34891,1.22937,0.9659,0.99257,1,0.995,0.91442,0.40755,1.50285,0.97976,0.000229264,0.000229264,0.000229264
46,208.787,0.43982,1.4293,1.10166,0.99465,1,0.995,0.93519,0.37278,1.4014,0.95514,0.00019838,0.00019838,0.00019838
47,213.396,0.40285,1.40496,1.13526,0.99465,1,0.995,0.93519,0.37278,1.4014,0.95514,0.000165912,0.000165912,0.000165912
48,217.689,0.34955,1.60352,1.07248,0.99465,1,0.995,0.93519,0.37278,1.4014,0.95514,0.00013186,0.00013186,0.00013186
49,220.212,0.46301,1.39957,1.0873,0.99465,1,0.995,0.93519,0.37278,1.4014,0.95514,9.6224e-05,9.6224e-05,9.6224e-05
50,224.519,0.33703,1.18676,0.85253,0.9936,1,0.995,0.92486,0.35949,1.28928,0.94678,5.9004e-05,5.9004e-05,5.9004e-05
