Version,mAP50,mAP50-95,Precision,Recall,Dataset Size,Notes
v1,0.995,0.9323777748917749,0.9942205552478625,1.0,11,Image From Internet
v2,0.995,0.9323777748917749,0.9942205552478625,1.0,11,Image From Internet
